timestamp_iso,hr_bpm,pr_ms,rr_ms
2026-02-10T14:28:00.604359,89,168,674
2026-02-10T14:28:02.801525,78,168,769
2026-02-10T14:28:04.905520,64,168,938
2026-02-10T14:28:05.916811,53,168,1132
2026-02-10T14:28:05.916897,53,168,1132
2026-02-10T14:28:07.025666,75,168,800
2026-02-10T14:28:08.126277,86,168,698
2026-02-10T14:28:10.231493,90,168,667
2026-02-10T14:28:11.315864,90,168,667
2026-02-10T14:28:16.621738,90,168,667
2026-02-10T14:28:22.039204,90,168,667
2026-02-10T14:28:27.532908,90,168,667
2026-02-10T14:28:32.744427,90,168,667
2026-02-10T14:28:38.153172,90,168,667
2026-02-10T14:28:43.462208,90,168,667
2026-02-10T14:28:48.876785,90,168,667
2026-02-10T14:28:57.159286,90,168,667
2026-02-10T14:28:58.313484,78,168,769
2026-02-10T14:28:59.462029,67,168,896
2026-02-10T14:29:02.535130,71,168,845
2026-02-10T14:29:02.535290,71,168,845
2026-02-10T14:29:03.572032,106,168,566
2026-02-10T14:29:05.669780,103,168,583
2026-02-10T14:29:06.730630,92,168,652
2026-02-10T14:29:07.868989,145,168,414
2026-02-10T14:29:07.869123,145,168,414
2026-02-10T14:29:09.008681,182,168,330
2026-02-10T14:29:11.032426,193,168,311
2026-02-10T14:29:13.120367,193,168,311
2026-02-10T14:29:16.285756,196,168,306
2026-02-10T14:29:18.440360,196,168,306
2026-02-10T14:29:23.900162,196,168,306
2026-02-10T14:29:29.312591,196,168,306
2026-02-10T14:29:31.499605,199,168,302
2026-02-10T14:29:34.757239,199,168,302
2026-02-10T14:29:36.918179,161,168,373
2026-02-10T14:29:38.007221,89,168,674
2026-02-10T14:29:39.067589,66,168,909
2026-02-10T14:29:40.107411,66,168,909
2026-02-10T14:29:43.295142,59,168,1017
2026-02-10T14:29:45.523451,59,168,1017
2026-02-10T14:29:50.729527,59,168,1017
2026-02-10T14:29:56.066626,59,168,1017
2026-02-10T14:30:01.333314,59,168,1017
2026-02-10T14:30:06.606013,59,168,1017
2026-02-10T14:30:11.784770,59,168,1017
2026-02-10T14:30:17.045345,59,168,1017
2026-02-10T14:30:22.321689,59,168,1017
2026-02-10T14:30:27.589993,59,168,1017
2026-02-10T14:30:32.767630,59,168,1017
2026-02-10T14:30:38.057574,59,168,1017
2026-02-10T14:30:43.334772,59,168,1017
2026-02-10T14:30:48.618774,59,168,1017
2026-02-10T14:30:53.890289,59,168,1017
2026-02-10T14:30:59.163316,59,168,1017
2026-02-10T14:31:04.438492,59,168,1017
2026-02-10T14:31:09.722855,59,168,1017
2026-02-10T14:31:15.010390,59,168,1017
2026-02-10T14:31:20.322107,59,168,1017
2026-02-10T14:31:25.618902,59,168,1017
2026-02-10T14:31:30.970021,59,168,1017
2026-02-10T14:31:36.264978,59,168,1017
2026-02-10T14:31:41.578744,59,168,1017
2026-02-10T14:31:46.778473,59,168,1017
2026-02-10T14:31:52.080380,59,168,1017
2026-02-10T14:31:57.415447,59,168,1017
2026-02-10T14:32:02.611831,59,168,1017
2026-02-10T14:32:07.896510,59,168,1017
2026-02-10T14:32:13.206738,59,168,1017
2026-02-10T14:32:18.603477,59,168,1017
2026-02-10T14:32:23.807596,59,168,1017
2026-02-10T14:32:29.082877,59,168,1017
2026-02-10T14:32:34.394262,59,168,1017
2026-02-10T14:32:39.619122,59,168,1017
2026-02-10T14:33:07.591928,75,168,800
2026-02-10T14:33:07.592084,75,168,800
2026-02-10T14:33:09.659084,0,168,
2026-02-10T14:33:13.111086,0,168,
2026-02-10T14:33:15.233257,12,168,5000
2026-02-10T14:33:18.315735,12,168,5000
2026-02-10T14:33:21.478004,47,168,1277
2026-02-10T14:33:22.525628,58,168,1034
2026-02-10T14:33:23.539131,58,168,1034
2026-02-10T14:33:28.690828,58,168,1034
2026-02-10T14:33:34.021472,58,168,1034
2026-02-10T14:33:39.326740,58,168,1034
2026-02-10T14:33:44.619062,58,168,1034
2026-02-10T14:33:49.890837,58,168,1034
2026-02-10T14:33:55.156092,58,168,1034
2026-02-10T14:33:58.323120,73,168,822
2026-02-10T14:33:59.420580,124,168,484
2026-02-10T14:34:00.495145,135,168,444
2026-02-10T14:34:00.495278,135,168,444
2026-02-10T14:34:02.604179,140,168,429
2026-02-10T14:34:05.629473,140,168,429
2026-02-10T14:34:10.841049,140,168,429
2026-02-10T14:34:14.078560,137,168,438
2026-02-10T14:34:16.185384,137,168,438
2026-02-10T14:34:21.604840,137,168,438
2026-02-10T14:34:26.928549,140,168,429
2026-02-10T14:34:26.928653,140,168,429
2026-02-10T14:34:32.572628,140,168,429
2026-02-10T14:34:37.949609,140,168,429
2026-02-10T14:34:43.476097,140,168,429
2026-02-10T14:34:48.894032,140,168,429
2026-02-10T14:34:54.428358,140,168,429
2026-02-10T14:34:59.665845,140,168,429
